1941,1941 - Counter Attack (World),
1941j,1941 - Counter Attack (Japan),
1942,1942 (set 1),"1942 is set in the Pacific theater of World War II. The goal is to reach Tokyo and destroy the entire Japanese air fleet. The player pilots a plane dubbed the 'Super Ace' (but its appearance is clearly that of a Lockheed P-38 Lightning). The player has to shoot down enemy planes; to avoid enemy fire, the player can perform a roll or 'loop-the-loop'."
1942a,1942 (set 2),
1942b,1942 (set 3),
1943,1943 - The Battle of Midway (US),
1943j,1943 - The Battle of Midway (Japan),
1943kai,1943 Kai,
2020bb,2020 Super Baseball (set 1),
2020bbh,2020 Super Baseball (set 2),
280zzzap,Datsun 280 Zzzap,
3countb,3 Count Bout / Fire Suplex,
3stooges,Three Stooges,
3wonders,Three Wonders (US),
4dwarrio,4-D Warriors,
600,600,
64streej,64th. Street - A Detective Story (Japan),
64street,64th. Street - A Detective Story (World),
720,720 Degrees (set 1),"From official materials:'It's just you, your trusty skateboard, and a hundred bucks as you skate, jump, slide, spin and more through four levels of difficulty, picking up loose cash, earning money through events, and finally, earn a ticket to one of the big skate parks! If you're lucky, you'll get to buy some rad equipment to make you the coolest skateboarder alive.'"
720b,720 Degrees (set 2),
800fath,800 Fathoms,
88games,88 Games,
99lstwar,99 The Last War,
99lstwra,99 The Last War (alternate),
aafb,All American Football (rev E),
aafbb,All American Football (rev B),
aafbd2p,All American Football (rev D, 2 Players),
abaseb,Atari Baseball (set 1),
abaseb2,Atari Baseball (set 2),
actfanc1,Act-Fancer Cybernetick Hyper Weapon (World revision 1),
actfancj,Act-Fancer Cybernetick Hyper Weapon (Japan revision 1),
actfancr,Act-Fancer Cybernetick Hyper Weapon (World revision 2),
aeroboto,Aeroboto,
aerofgt,Aero Fighters,
aerofgtb,Aero Fighters (Turbo Force hardware set 1),
aerofgtc,Aero Fighters (Turbo Force hardware set 2),
airbustr,Air Buster (Japan),
airduel,Air Duel (Japan),
airwolf,Air Wolf,
ajax,Ajax,
ajaxj,Ajax (Japan),
alcon,Alcon,
alexkida,Alex Kidd (set 2),
alexkidd,Alex Kidd (set 1),
alibaba,Ali Baba and 40 Thieves,
alieninv,Alien Invasion Part II,
aliens,Aliens (World set 1),
aliens2,Aliens (World set 2),
aliensj,Aliens (Japan),
aliensu,Aliens (US),
aliensya,Alien Syndrome (set 2),
aliensyb,Alien Syndrome (set 3),
aliensyj,Alien Syndrome (Japan),
aliensyn,Alien Syndrome (set 1),
alleymas,Alley Master,
alpham2,Alpha Mission II / ASO II - Last Guardian,
alpine,Alpine Ski (set 1),
alpinea,Alpine Ski (set 2),
altbeas2,Altered Beast (Version 2),
altbeast,Altered Beast (Version 1),"Altered Beast is a side scrolling beat 'em up game with light platform elements. The player can punch, kick and jump. Up to two players can play at once. Each player controls a centurion, fighting undead creatures and monsters in a setting resembling Ancient Greece, with originally five levels, in a graveyard, the Underworld, a cavern, Neff's palace and base at the city of Dis. One of the enemies, a white two-headed wolf (blue in the Mega Drive version, and a blue ox in the DOS version) upon defeat releases a Spirit Ball, a power-up orb which increase the strength and size of the player character. Three orbs turn the centurion into a beast, which in the original version were a werewolf, a thunder weredragon, a werebear, a weretiger, and the more powerful golden werewolf. Each beast has its own abilities, such as the dragon's flight and lightning, and the bear's petrification.After becoming the beast, the character can face the end-level boss, though the boss will also appear regardless of whether or not the character is transformed if the player takes too long to complete the level. Upon the boss's defeat, Neff appears and removes the transformation orbs."
ambush,Ambush,
amidar,Amidar,
amidaro,Amidar (Olympia),
amidars,Amidar (Scramble hardware),
amidaru,Amidar (Stern),
amigo,Amigo,
androdun,Andro Dunos,
anteater,Anteater,
aodk,Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku,
aof,Art of Fighting / Ryuuko no Ken,
aof2,Art of Fighting 2 / Ryuuko no Ken 2,
aof3,Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden,
